11月15日の学校は暖かいかな？	お昼の日吉津村は涼しいかな？
明日の学校は曇る？	夕方の神河町ならどうですか？
明日の職場の天気はどうだろう？	あなたのご趣味は？
明日の職場は寒い？	職場で何かある？
明日の東峰村はどんな？	このあたりならどんな？
明日の日吉津村は涼しいかな？	職場のお昼の天気を教えてほしい
明日の飯塚市の天気はどんな？	夕方はどこかへ行く予定はありますか？
明日の蓬田村は雨降らない？	豊田市の天気は何？
明日の立川市は？	今日は確かに生ぬるくて
明日はどちらへ行かれるんですか？	今朝の熊野町ならどんな？
明日はどちらへ行かれるんですか？	来月ならどんな？
明日はどちらまで？	好きですよ
明日は暇になりそう？	このあたりの夜なら？
明日は晴れかな？	この辺の天気はどうかな？
猛暑は辛いね	昼の佐渡市ならどんな？
夜になったの？	明後日の学校は？
夜のここは晴れないと思う？	リボンをつけてあるとかわいいですね
夜のこの辺は晴れるかな？	職場の天気は何？
夜の稲敷市は雨降らない？	この辺は雨降るかな？
夜の学校は涼しいかな？	職場なら？
夜の佐久穂町は晴れたり？	お昼の熊本市の天気を教えてほしい
夜の昭島市の暑さは？	職場の夕方は晴れない？
夜の職場は雨降る？	4月8日の港区は雪降る？
夜の予定を教えてほしい	今日のここならどう？
夜はどこかへ行きますか？	今のこのあたりならどうですか？
夜はどちらまで？	お昼の球磨村はどうだろう？
夜は暇になりそう？	手でつかまえるよ会社のそばにもいるよ
夜は晴れないと思う？	どんな作曲家が好きですか？
夜は晴れると思う？	なにが有名なの？
夜は暖かい？	長和町ならどんな？
優しい人もいますね	今は暇になりそう？
邑南町の明日は涼しい？	スイカのアイスやジュースも好きです
邑南町の夕方は涼しい？	このあたりはどうだろう？
邑南町の夕方は涼しい？	モモ
夕方のここの天気はどんな？	何か対策してますか？
夕方のここは雪かな？	今からですか？
夕方のこのあたりの天気は何？	このあたりの天気はどうだろう？
夕方のこのあたりはどんな？	今は19時9分でした
夕方のこの辺ならどうですか？	セクシーなのがいいよね
夕方のさつま町の天気は？	今の時間はわかりますか
夕方の安田町の寒さは？	職場は雨降る？
夕方の鞍手町の天気	あなたの血液型は？
夕方の河北町の天気は何？	ここは雪降るかな？
夕方の学校はどう？	明日は晴れない？
夕方の学校は寒い？	昼は雨降るかな？
夕方の学校は晴れかな？	我孫子市は雨降る？
夕方の学校は曇り？	23日の天気
夕方の三木市は雨降る？	職場は晴れない？
夕方の職場の天気はどうだろう？	明後日の天気はどんな？
夕方の職場の天気は何？	それからどうなったの？
夕方の職場は雨降るかな？	この辺の天気はどう？
夕方の職場は晴れかな？	ありますよあなたは？
夕方の暖かさは？	ここは涼しいかな？
夕方の天気はどう？	マジやで
夕方の読谷村は暖かい？	箸を持つ文化のおかげだと思う
夕方の能美市はどうですか？	結構遠くから来てるんだね
夕方の浜田市は暑い？	長瀞町は雨降らない？
夕方の武豊町はどうですか？	ちょっと意味が分かんないですねでも退屈なときには変化がほしいですね
夕方の予定	8月8日の熊野町ならどんな？
夕方の予定を教えてほしい	このあたりの今日なら？
夕方はどうだろう？	生ぬるいのはヲタ
夕方はどこに行くんですか	川本町の今朝ならどう？
夕方はどこへ行くのですか？	今日はお祭りでもあります？
夕方はヒマなんですか？	この辺の今はどうだろう？
夕方は何か予定されてる？	好きな食べ物ある？
夕方は暇になりそう？	この辺の今日はどんな？
夕方は曇る？	明後日は忙しくなりそう？
来月のここは雨降らないかな？	共和町の今日の天気はどうかな？
来月のここは暑い？	広島県です
来月のこのあたりは雪降るかな？	ここの夕方の天気を教えてほしい
来月のこの辺は暑いかな？	この辺の天気は何かな？
来月の越前町の天気を教えてほしい	大学２年生からアルバイトを始めました
来月の職場の天気を教えてほしい	ごりら
来月の杉戸町はどうだろう？	夕方の神河町ならどうですか？
来月の天気を教えてほしい	良いこと言いましたね
来月の当麻町なら？	仕事がね
来月の利尻富士町は晴れないと思う？	価値観の変わる大きな出会いで変わると思います
来月はどう？	今はヒマなんですか？
来月はどこかへ行く予定はありますか？	来週のここならどう？
来月はどこへ行くのですか？	来週の山都町なら？
来月は忙しい？	このあたりの明日ならどう？
来週のここは涼しい？	夕方ならどんな？
来週のこの辺の天気はどうかな？	富里市のスイカマラソンは知ってます？
来週の学校は晴れる？	職場の朝の天気を教えてほしい
来週の高槻市はどう？	学校の寒さは？
来週の職場は晴れ？	高校野球
来週の大子町の天気は何？	入善町の天気は何？
来週の大野城市の天気はどう？	甲佐町の昼の暑さは？
来週はどこかへ行きますか？	ここは晴れ？
来週はどこかへ行く予定はありますか？	ここの今ならどう？
来週はヒマなんですか？	職場の今夜ならどんな？
来週は雪？	夜は晴れないと思う？
流山市の5月は晴れない？	今年はもっと上手になりたいです
料理とか美味しいからね	読書の秋？
良いですね	美浜町のお昼の天気
良い成績が取れるといいですね	高野町で何かある？
零ではない？	夜のここならどう？
苺も大好き	長野原町の今朝は暖かい？
